card_id,customer_id,card_number,card_type,credit_limit,outstanding,expiry_date,status,issue_date
249,254,XXXX-XXXX-XXXX-5063,Visa,577167.89,361708.58,2020-01-26,Active,2015-01-27
250,67,XXXX-XXXX-XXXX-5252,UnionPay,558735.77,97894.55,2015-11-29,Blocked,2011-11-30
251,386,XXXX-XXXX-XXXX-7999,Mastercard,342350.82,270533.77,2028-06-12,Active,2023-06-14
252,259,XXXX-XXXX-XXXX-9920,UnionPay,1419868.04,455316.49,2024-06-12,Active,2019-06-14
253,130,XXXX-XXXX-XXXX-5422,Mastercard,365825.24,249720.78,2019-03-12,Expired,2015-03-13
254,80,XXXX-XXXX-XXXX-6876,Mastercard,226671.5,183477.43,2025-08-08,Blocked,2021-08-09
255,356,XXXX-XXXX-XXXX-5629,Visa,1177247.88,550515.26,2021-05-28,Expired,2017-05-29
256,101,XXXX-XXXX-XXXX-3829,Mastercard,1165326.45,499058.71,2021-10-03,Active,2017-10-04
257,265,XXXX-XXXX-XXXX-3424,Visa,1186035.3,435240.89,2020-09-06,Expired,2015-09-08
258,461,XXXX-XXXX-XXXX-9835,Mastercard,467861.08,434592.6,2025-02-03,Blocked,2021-02-04
259,258,XXXX-XXXX-XXXX-4874,Mastercard,443461.17,293682.3,2025-08-03,Expired,2020-08-04
260,281,XXXX-XXXX-XXXX-5629,Mastercard,249132.7,47921.44,2024-12-02,Expired,2019-12-04
261,341,XXXX-XXXX-XXXX-3637,Visa,1285738.79,124290.34,2026-04-21,Expired,2021-04-22
262,309,XXXX-XXXX-XXXX-3848,Visa,590746.04,530874.28,2025-10-22,Active,2022-10-23
263,197,XXXX-XXXX-XXXX-4931,Visa,388770.97,169184.51,2014-12-10,Expired,2011-12-11
264,405,XXXX-XXXX-XXXX-2285,Visa,90341.83,80539.92,2024-11-11,Active,2021-11-12
265,429,XXXX-XXXX-XXXX-2420,UnionPay,1350470.78,1302648.61,2021-11-13,Blocked,2017-11-14
266,275,XXXX-XXXX-XXXX-9206,UnionPay,777166.92,113308.29,2025-11-04,Expired,2020-11-05
267,200,XXXX-XXXX-XXXX-4886,UnionPay,1231072.35,970927.94,2020-03-31,Expired,2015-04-02
268,230,XXXX-XXXX-XXXX-6242,Mastercard,1240196.75,1234564.31,2018-02-01,Active,2013-02-02
269,448,XXXX-XXXX-XXXX-4730,UnionPay,1468349.32,777339.5,2013-11-25,Blocked,2010-11-26
270,162,XXXX-XXXX-XXXX-6010,Mastercard,523054.63,370551.14,2024-12-19,Blocked,2021-12-20
271,236,XXXX-XXXX-XXXX-5904,Mastercard,1232714.98,14447.6,2015-03-19,Expired,2011-03-20
272,107,XXXX-XXXX-XXXX-3806,Mastercard,741535.83,325035.09,2015-12-12,Blocked,2012-12-12
273,164,XXXX-XXXX-XXXX-5878,UnionPay,55301.09,39677.31,2023-08-03,Expired,2018-08-04
274,435,XXXX-XXXX-XXXX-4806,Mastercard,494570.3,183535.81,2018-10-09,Active,2015-10-10
275,49,XXXX-XXXX-XXXX-6032,Visa,794057.82,122633.59,2017-01-27,Active,2012-01-29
276,220,XXXX-XXXX-XXXX-5911,Mastercard,926043.28,703803.58,2026-03-29,Active,2021-03-30
277,419,XXXX-XXXX-XXXX-7815,Mastercard,807259.31,436954.98,2025-01-01,Expired,2022-01-02
278,61,XXXX-XXXX-XXXX-9844,Visa,222285.86,58364.46,2018-12-26,Expired,2013-12-27
279,113,XXXX-XXXX-XXXX-5661,Visa,1246084.18,90067.87,2023-11-14,Expired,2020-11-14
280,355,XXXX-XXXX-XXXX-4462,UnionPay,60614.71,20283.38,2023-01-13,Active,2019-01-14
281,19,XXXX-XXXX-XXXX-6158,UnionPay,626405.08,538315.74,2026-03-09,Active,2022-03-10
282,410,XXXX-XXXX-XXXX-3231,UnionPay,1154551.67,54314.15,2021-10-01,Expired,2016-10-02
283,220,XXXX-XXXX-XXXX-3577,UnionPay,402949.24,250446.42,2024-10-31,Expired,2021-11-01
284,418,XXXX-XXXX-XXXX-7450,UnionPay,373940.09,186674.23,2023-09-25,Expired,2020-09-25
285,137,XXXX-XXXX-XXXX-3193,Mastercard,1064626.02,126493.21,2024-05-19,Expired,2021-05-20
286,455,XXXX-XXXX-XXXX-1229,Visa,537621.02,199936.4,2023-10-22,Blocked,2019-10-23
287,265,XXXX-XXXX-XXXX-7932,Mastercard,1175821.78,831475.38,2018-11-26,Blocked,2013-11-27
288,410,XXXX-XXXX-XXXX-7292,UnionPay,1009342.65,529268.36,2026-12-14,Expired,2021-12-15
289,79,XXXX-XXXX-XXXX-1651,Mastercard,1491868.31,681580.63,2021-12-07,Blocked,2018-12-08
290,477,XXXX-XXXX-XXXX-8549,Mastercard,541847.26,240407.09,2014-06-01,Active,2010-06-02
291,478,XXXX-XXXX-XXXX-6598,UnionPay,215034.78,47026.24,2026-07-10,Active,2022-07-11
292,61,XXXX-XXXX-XXXX-7130,Visa,313341.63,247333.09,2020-11-03,Expired,2016-11-04
293,260,XXXX-XXXX-XXXX-1247,UnionPay,168842.09,78411.94,2025-04-10,Expired,2021-04-11
294,394,XXXX-XXXX-XXXX-9304,Mastercard,667344.71,643637.28,2017-01-20,Active,2012-01-22
295,177,XXXX-XXXX-XXXX-7404,UnionPay,272335.19,81679.57,2014-05-31,Active,2011-06-01
296,68,XXXX-XXXX-XXXX-9388,Mastercard,1113282.45,474901.78,2024-06-09,Blocked,2019-06-11
297,261,XXXX-XXXX-XXXX-8025,UnionPay,528472.29,365055.27,2026-05-28,Active,2022-05-29
298,180,XXXX-XXXX-XXXX-1154,Visa,1292585.62,704039.45,2015-09-13,Expired,2011-09-14
299,73,XXXX-XXXX-XXXX-8319,UnionPay,994297.62,103441.03,2020-06-03,Active,2017-06-04
300,384,XXXX-XXXX-XXXX-9499,UnionPay,931437.45,789178.02,2028-05-06,Expired,2023-05-08
